sample_id,sample_type,longitude,latitude,elevation_m,slope_deg,lulc_class,lulc_class_name
BG_301,background,93.536568,27.126641,1197.79,29.87,10,Tree cover
BG_302,background,93.912784,27.455649,2487.18,20.74,10,Tree cover
BG_303,background,93.647387,27.236676,1192.04,36.33,10,Tree cover
BG_304,background,93.355434,27.659957,2212.76,42.57,10,Tree cover
BG_305,background,93.407549,27.523315,1624.8,10.94,10,Tree cover
BG_306,background,93.425381,27.578511,1878.43,32.64,10,Tree cover
BG_307,background,93.398117,27.434779,3056.8,17.41,10,Tree cover
BG_308,background,93.430655,27.056584,568.15,27.98,10,Tree cover
BG_309,background,93.685812,27.227556,821.88,12.43,10,Tree cover
BG_310,background,93.614096,26.966523,107.37,0.5,30,Grassland
BG_311,background,93.404333,27.224047,1158.57,33.38,10,Tree cover
BG_312,background,94.114862,27.475302,723.21,4.22,10,Tree cover
BG_313,background,93.458219,27.434865,1996.71,19.15,10,Tree cover
BG_314,background,93.444607,27.446555,2176.39,23.4,10,Tree cover
BG_315,background,93.756936,27.03679,119.32,0.31,40,Cropland
BG_316,background,93.672304,27.147453,679.25,14.93,10,Tree cover
