SLIDE_NO,LONGITUDE,LATITUDE,EVENT_DATE,RAINFALL_EVENT_DAY_MM,RAINFALL_3DAY_CUMULATIVE_MM,RAINFALL_7DAY_CUMULATIVE_MM,MATCH_STATUS,NOTES
AP/PAP/83E15/2021/19,93.80125,27.267722,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E15/2021/20,93.802361,27.269861,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E15/2021/21,93.799333,27.270019,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E15/2021/22,93.797833,27.2745,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E15/2021/23,93.795889,27.27625,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E15/2021/50,93.780306,27.260722,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E15/2021/51,93.778167,27.258556,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E15/2021/47,93.7895,27.260444,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E15/2021/48,93.7895,27.260222,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E15/2021/49,93.7895,27.260222,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E16/2021/52,93.765889,27.248167,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E16/2021/53,93.765333,27.24675,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E16/2021/55,93.750417,27.240556,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/56,93.749306,27.241056,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E16/2021/54,93.757222,27.242917,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/57,93.746889,27.24125,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/58,93.745917,27.240083,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/59,93.745,27.239333,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
